Time,Address,TXID,Coin,Amount,Fee,"Display Value","Display Coin"
2023-07-25T03:48:25-04:00,LbY3YmwRQkvoYu3wByy3MULmDYkM5kwAdP,2affa2416516ddeeb3927b16a574ac837f0a1a607db457a1aed41731e3e9ce35,LTC,0.02000000,0.00000000,0.02000000,USD
2023-07-25T03:37:16-04:00,3K5fpdhrk8fSgSAotmWVr2MCLNdWEWA62o,116aca74a5f1bae9f0839904229e8c96ee22d06d7327cbb10c2f9aa78021fc07,BTC,0.00125678,0.00000000,0.00125678,USD
